"Scenario","Iteration","N_train","ISE_raw_mean","ISE_raw_expected","ISE_adjusted_mean","ISE_adjusted_expected","Mu_mean","Sigma_mean"
"sigmoid",1,200,Inf,Inf,Inf,Inf,0.477021693032215,0.378401391813022
"sigmoid",2,200,Inf,Inf,Inf,Inf,0.54719843929087,0.385990853979354
"sigmoid",3,200,Inf,Inf,Inf,Inf,0.452168360503407,0.356944969660656
"sigmoid",4,200,Inf,Inf,Inf,Inf,0.285737327743813,0.340431262296108
"sigmoid",5,200,Inf,Inf,Inf,Inf,0.480020357814429,0.384570774734342
"sigmoid",6,200,Inf,Inf,Inf,Inf,0.455045859106201,0.370410949813723
"sigmoid",7,200,Inf,Inf,Inf,Inf,0.481681448259859,0.3665087356028
"sigmoid",8,200,Inf,Inf,Inf,Inf,0.537875869014051,0.422245044824254
"sigmoid",9,200,Inf,Inf,Inf,Inf,0.371059166330107,0.39780961004675
"sigmoid",10,200,Inf,Inf,Inf,Inf,0.58189593814806,0.374419058689148
"sigmoid",11,200,Inf,Inf,Inf,Inf,0.57111460747047,0.436218572490544
"sigmoid",12,200,Inf,Inf,Inf,Inf,0.498844963161536,0.351985283875357
"sigmoid",13,200,Inf,Inf,Inf,Inf,0.417831061416898,0.403391661692535
"sigmoid",14,200,Inf,Inf,Inf,Inf,0.531896131529485,0.413052956027653
"sigmoid",15,200,Inf,Inf,Inf,Inf,0.481003585802333,0.404935302516971
"sigmoid",16,200,Inf,Inf,Inf,Inf,0.374164980308562,0.356032268721376
"sigmoid",17,200,Inf,Inf,Inf,Inf,0.383402398721316,0.396312334734233
"sigmoid",18,200,Inf,Inf,Inf,Inf,0.596125720114598,0.380065801587771
"sigmoid",19,200,Inf,Inf,Inf,Inf,0.409642167442806,0.285768415680707
"sigmoid",20,200,Inf,Inf,Inf,Inf,0.533325993460753,0.395214510913892
"sigmoid",21,200,Inf,Inf,Inf,Inf,0.37183885180409,0.409808121434677
"sigmoid",22,200,Inf,Inf,Inf,Inf,0.502277685864626,0.410604146173156
"sigmoid",23,200,Inf,Inf,Inf,Inf,0.604012654072283,0.345835154145128
"sigmoid",24,200,Inf,Inf,Inf,Inf,0.340846591535234,0.38298427991012
"sigmoid",25,200,Inf,Inf,Inf,Inf,0.70882756906125,0.443697850310927
"sigmoid",26,200,Inf,Inf,Inf,Inf,0.385959797694442,0.324152041118199
"sigmoid",27,200,Inf,Inf,Inf,Inf,0.214041435672693,0.375759869856677
"sigmoid",28,200,Inf,Inf,Inf,Inf,0.521672805837175,0.381440278528144
"sigmoid",29,200,Inf,Inf,Inf,Inf,0.3765256017646,0.346055210114375
"sigmoid",30,200,Inf,Inf,Inf,Inf,0.386205872633091,0.373095122984734
"sigmoid",31,200,Inf,Inf,Inf,Inf,0.252767933431002,0.347644704521093
"sigmoid",32,200,Inf,Inf,Inf,Inf,0.452106132059641,0.38263777172058
"sigmoid",33,200,Inf,Inf,Inf,Inf,0.446476613175166,0.308887753097201
"sigmoid",34,200,Inf,Inf,Inf,Inf,0.569921177082268,0.394268477813035
"sigmoid",35,200,Inf,Inf,Inf,Inf,0.544856768403741,0.386640040967927
"sigmoid",36,200,Inf,Inf,Inf,Inf,0.537424759355047,0.3690815672084
"sigmoid",37,200,Inf,Inf,Inf,Inf,0.268303993731599,0.320377819609644
"sigmoid",38,200,Inf,Inf,Inf,Inf,0.211831297862933,0.306965377775603
"sigmoid",39,200,Inf,Inf,Inf,Inf,0.493580426935285,0.400789279816449
"sigmoid",40,200,Inf,Inf,Inf,Inf,0.461297037217126,0.392938648784097
"sigmoid",41,200,Inf,Inf,Inf,Inf,0.236721667567115,0.31830424199627
"sigmoid",42,200,Inf,Inf,Inf,Inf,0.34131909804371,0.342412780027357
"sigmoid",43,200,Inf,Inf,Inf,Inf,0.334358808296498,0.427753493598493
"sigmoid",44,200,Inf,Inf,Inf,Inf,0.636390070117674,0.375251113368648
"sigmoid",45,200,Inf,Inf,Inf,Inf,0.478506056592857,0.339831599132135
"sigmoid",46,200,Inf,Inf,Inf,Inf,0.67772289009582,0.410532827435856
"sigmoid",47,200,Inf,Inf,Inf,Inf,0.524393267543465,0.323299310629787
"sigmoid",48,200,Inf,Inf,Inf,Inf,0.338881884803717,0.35500338272798
"sigmoid",49,200,Inf,Inf,Inf,Inf,0.329701907107849,0.378025820072301
"sigmoid",50,200,Inf,Inf,Inf,Inf,0.252813452265622,0.300454982749362
"sigmoid",51,200,Inf,Inf,Inf,Inf,0.445860373091774,0.362000490839005
"sigmoid",52,200,Inf,Inf,Inf,Inf,0.501051210996473,0.415936046789863
"sigmoid",53,200,Inf,Inf,Inf,Inf,0.357056557161907,0.375044601957679
"sigmoid",54,200,Inf,Inf,Inf,Inf,0.390555751732128,0.35621237244743
"sigmoid",55,200,Inf,Inf,Inf,Inf,0.447797438464542,0.392642409322012
"sigmoid",56,200,Inf,Inf,Inf,Inf,0.235936150355985,0.422186644431634
"sigmoid",57,200,Inf,Inf,Inf,Inf,0.377074835317721,0.36589270683089
"sigmoid",58,200,Inf,Inf,Inf,Inf,0.584225786858792,0.324593590193394
"sigmoid",59,200,Inf,Inf,Inf,Inf,0.353441117612787,0.354814214666035
"sigmoid",60,200,Inf,Inf,Inf,Inf,0.524948341314255,0.408093230194054
"sigmoid",61,200,Inf,Inf,Inf,Inf,0.239392378693452,0.346795067082913
"sigmoid",62,200,Inf,Inf,Inf,Inf,0.359140764054091,0.369653627118103
"sigmoid",63,200,Inf,Inf,Inf,Inf,0.585057054691001,0.432837391814862
"sigmoid",64,200,Inf,Inf,Inf,Inf,0.402969975483915,0.39817523703836
"sigmoid",65,200,Inf,Inf,Inf,Inf,0.263075225839175,0.378193330567347
"sigmoid",66,200,Inf,Inf,Inf,Inf,0.404758852642584,0.359910671567718
"sigmoid",67,200,Inf,Inf,Inf,Inf,0.295530800064918,0.32127931421556
"sigmoid",68,200,Inf,Inf,Inf,Inf,0.30483621263774,0.316740219038119
"sigmoid",69,200,Inf,Inf,Inf,Inf,0.339943410044196,0.347118995596535
"sigmoid",70,200,Inf,Inf,Inf,Inf,0.317884243640915,0.358505378700753
"sigmoid",71,200,Inf,Inf,Inf,Inf,0.419855115131056,0.399438163258907
"sigmoid",72,200,Inf,Inf,Inf,Inf,0.429583187501149,0.351729050212518
"sigmoid",73,200,Inf,Inf,Inf,Inf,0.374678663275769,0.365533961863343
"sigmoid",74,200,Inf,Inf,Inf,Inf,0.504741423208552,0.386616211371951
"sigmoid",75,200,Inf,Inf,Inf,Inf,0.750173847511098,0.401347262843721
"sigmoid",76,200,Inf,Inf,Inf,Inf,0.419284627206008,0.377781728216127
"sigmoid",77,200,Inf,Inf,Inf,Inf,0.459804783598646,0.438344060128382
"sigmoid",78,200,Inf,Inf,Inf,Inf,0.445936625298512,0.308620057979643
"sigmoid",79,200,Inf,Inf,Inf,Inf,0.370628380130498,0.359734622144904
"sigmoid",80,200,Inf,Inf,Inf,Inf,0.380699379255539,0.340448809201639
"sigmoid",81,200,Inf,Inf,Inf,Inf,0.625635591823583,0.354641265426029
"sigmoid",82,200,Inf,Inf,Inf,Inf,0.398763582498458,0.393868150583975
"sigmoid",83,200,Inf,Inf,Inf,Inf,0.433516682892276,0.366870831111569
"sigmoid",84,200,Inf,Inf,Inf,Inf,0.568843881722975,0.432263540941827
"sigmoid",85,200,Inf,Inf,Inf,Inf,0.658712463772623,0.40713877817097
"sigmoid",86,200,Inf,Inf,Inf,Inf,0.599684730536361,0.416946259751797
"sigmoid",87,200,Inf,Inf,Inf,Inf,0.485234530901142,0.39877800204451
"sigmoid",88,200,Inf,Inf,Inf,Inf,0.252805889466419,0.384650295859873
"sigmoid",89,200,Inf,Inf,Inf,Inf,0.389609338948684,0.35627129478948
"sigmoid",90,200,Inf,Inf,Inf,Inf,0.515281997002302,0.359066270716972
"sigmoid",91,200,Inf,Inf,Inf,Inf,0.365383241715133,0.351726821438492
"sigmoid",92,200,Inf,Inf,Inf,Inf,0.291574217700259,0.388493593159751
"sigmoid",93,200,Inf,Inf,Inf,Inf,0.493694054103774,0.322327642414175
"sigmoid",94,200,Inf,Inf,Inf,Inf,0.358081007391735,0.406512578702306
"sigmoid",95,200,Inf,Inf,Inf,Inf,0.374633239977163,0.386399305249218
"sigmoid",96,200,Inf,Inf,Inf,Inf,0.385104281074,0.365359822759681
"sigmoid",97,200,Inf,Inf,Inf,Inf,0.360604601372241,0.303740159399756
"sigmoid",98,200,Inf,Inf,Inf,Inf,0.518616820056132,0.37740984980681
"sigmoid",99,200,Inf,Inf,Inf,Inf,0.797392932978352,0.370498376391796
"sigmoid",100,200,Inf,Inf,Inf,Inf,0.331672423040171,0.337836592395164
"beta",1,200,0.174818344554922,0.192051363129859,2.09923563378969,2.33045405166307,0.135399933071802,0.29195246441136
"beta",2,200,0.136752998668299,0.15376134757313,1.88470434815583,2.13246515634358,0.0573081292983406,0.272009989746317
"beta",3,200,0.186144369548805,0.204652480038083,1.61300892435223,1.78970954126863,0.119073968579239,0.343269414333822
"beta",4,200,0.179329743132162,0.194965536201868,2.79247021178159,3.06018406228566,0.0740364702484826,0.255824543824734
"beta",5,200,0.204637429614367,0.21954838454517,2.61125379354843,2.82521062531175,0.112516502986854,0.282793906271846
"beta",6,200,0.134891789029233,0.150632404396601,1.3113460977223,1.46953696801133,0.000338249967505802,0.32309223111172
"beta",7,200,0.192492839792082,0.20693649496529,1.97416356421026,2.13460520890963,0.116901465646215,0.314548742085984
"beta",8,200,0.144811123752083,0.15993781315056,2.19020218489038,2.43998814174723,0.0179492310975103,0.25992389861272
"beta",9,200,0.138414444596534,0.154739693801451,1.68192785147867,1.89813081764824,0.0364589839610831,0.290411045206061
"beta",10,200,0.240783579605749,0.257839661959208,2.46139223763307,2.65628529650051,0.31226684117788,0.315622785122595
"beta",11,200,0.173803909162547,0.189108697884863,1.96717182267411,2.15618146630662,0.0688222192007706,0.300002126714999
"beta",12,200,0.207258340841374,0.222964784049985,2.35959089365773,2.55641974095441,0.045468525173899,0.299000298838069
"beta",13,200,0.209294312645007,0.225296271576721,2.33972295962372,2.54020952929517,0.132858715070198,0.302163467515031
"beta",14,200,0.214077029346964,0.229939653768933,2.28597305452451,2.48123119523862,0.159295496926649,0.309437413970464
"beta",15,200,0.137871533838868,0.154736700364443,1.78220956579432,2.01524137458013,0.0507687847556661,0.281000291354444
"beta",16,200,0.1408058526454,0.156989853354114,1.64604699646494,1.84918000793607,0.0675631050968719,0.29525007712242
"beta",17,200,0.232075783035421,0.246286550443824,3.2828000001251,3.51478759152859,0.118087827138862,0.268555773544655
"beta",18,200,0.205532510152764,0.2206581040172,2.17741094281791,2.35345719275686,-0.0013535665791812,0.309971344294381
"beta",19,200,0.189072830521238,0.205305263213073,3.57483219633196,3.89534968786365,-0.0628114147070246,0.231421542509828
"beta",20,200,0.212782198445546,0.228445178085925,2.13327583699585,2.31019824154015,0.0655172382052857,0.318980285517427
"beta",21,200,0.145218965055379,0.162681740494121,1.4056602711906,1.58723429256556,0.00834752230648278,0.324720806179317
"beta",22,200,0.15963802567721,0.176206890377878,1.62856823798773,1.80423563380399,-0.0300003411686698,0.314947399440175
"beta",23,200,0.136624567414775,0.152405766026774,1.70821862062206,1.91275000375808,0.0479105080792135,0.284891286875825
"beta",24,200,0.167748710752656,0.182810041447187,2.22756042713476,2.44863324878827,0.0834916856744585,0.277243841375318
"beta",25,200,0.14674082974998,0.161335922604001,1.56873722941638,1.73646500950096,0.0827762647913164,0.30854001680682
"beta",26,200,0.192354684901984,0.206850649417951,3.20728956205257,3.47728180911911,0.0366619577702591,0.247520580503256
"beta",27,200,0.175858768029237,0.191574673539214,1.23679623826973,1.35283118792731,0.0642341002206189,0.379290437406075
"beta",28,200,0.211183757255804,0.226110029986424,2.36083935397862,2.54994676526026,0.110920126527604,0.302042965355522
"beta",29,200,0.156122437168015,0.172301434733306,1.30441043351645,1.44801186733959,0.0363021638751143,0.348592524563484
"beta",30,200,0.194873175180892,0.210450702656804,2.81046827442111,3.06075751625611,0.126928456525386,0.265965837046946
"beta",31,200,0.176322676071118,0.192130667546295,1.90035383615509,2.08302396193396,0.0148034573258067,0.306820161668013
"beta",32,200,0.142960405095628,0.159092435100456,2.19915839492867,2.46544813732107,-0.0188503282591406,0.257700793032004
"beta",33,200,0.150714413119696,0.166301209236691,1.52009797216921,1.68904484956621,0.07488677375042,0.317391677510621
"beta",34,200,0.158477054143529,0.17427276121703,2.01414079348407,2.22720942778519,0.0583109690890086,0.282604913956515
"beta",35,200,0.193797756984887,0.208881566232212,2.64185214409927,2.86621872567075,0.0626523070737264,0.273000778646981
"beta",36,200,0.189910952590155,0.205700324400019,2.3440617817007,2.55459693830952,0.140046857927102,0.28705014103737
"beta",37,200,0.181781567394817,0.197984506714726,2.92641584591591,3.2086174474298,0.00134992598337681,0.251562775957212
"beta",38,200,0.138501609489817,0.155400211752594,1.41142065887882,1.59198435448748,0.0660055131813717,0.315702414710802
"beta",39,200,0.180107036910802,0.197425472404856,1.66382655918482,1.83832625052513,0.0788016636680985,0.332107933665729
"beta",40,200,0.194650421727592,0.211702724777232,2.06805015989345,2.26012185395834,0.0513909235086947,0.309377927107504
"beta",41,200,0.163769673396566,0.179824762542679,2.28416358166828,2.53257209676938,-0.0755804817491427,0.270908487470974
"beta",42,200,0.130225354537422,0.145311875962616,1.35431808680926,1.52258914650549,0.0678442998776326,0.312510687479809
"beta",43,200,0.192617070830873,0.207755456682338,2.03603174238197,2.20943289423232,0.0736989714180808,0.31005734072365
"beta",44,200,0.143634739063196,0.159092411246869,1.44162367065199,1.60546125910059,0.00780815345820694,0.317927320579338
"beta",45,200,0.18199043523362,0.197950800546771,2.00783516240517,2.20052085551573,0.169559253164356,0.303718060848353
"beta",46,200,0.167725874293244,0.183786420132622,1.7544342288139,1.93293997690186,0.0786558087466469,0.311522711504524
"beta",47,200,0.200010977317336,0.215877127666629,2.93400136188227,3.19012571078332,0.193432476411944,0.263377963670287
"beta",48,200,0.150017962902147,0.165887973935124,1.35178290576603,1.50463787063309,0.113271585221104,0.335586720552233
"beta",49,200,0.169837413721841,0.184406775083368,1.77380726819008,1.93952922762676,0.095408259927395,0.311976081047616
"beta",50,200,0.188012581932354,0.2037892992168,1.53693536194266,1.67711330461637,0.123280345761216,0.352451365202882
"beta",51,200,0.215279619068054,0.230974202526094,2.39604063270601,2.5973578030163,0.177811197225661,0.303084843472174
"beta",52,200,0.133218909894297,0.149926304102893,1.22563601668496,1.38736019155871,0.0296559013297511,0.33216312569407
"beta",53,200,0.212110651451099,0.228805053433196,2.75058546035701,3.00709162901324,0.259379556379839,0.281712614252007
"beta",54,200,0.148085302189699,0.164255724867657,1.7985690663757,2.00716121037817,0.0196472790361649,0.289473640049762
"beta",55,200,0.15544100463927,0.170532629196681,2.0942247754328,2.31129642177989,0.0589047835634222,0.274457601618187
"beta",56,200,0.165213379428942,0.18128899887224,1.82814028684126,2.02309514950424,0.172904831394866,0.303177026118035
"beta",57,200,0.201973567245555,0.217112492746414,1.85626654779014,2.00673073854195,0.0402026295108869,0.332286231021779
"beta",58,200,0.185746259883545,0.201440116765822,2.55126128157017,2.7952091027794,0.128548536607705,0.272973196481668
"beta",59,200,0.165608297152219,0.18094356635884,2.23839627716878,2.46636943286923,0.0656234825132649,0.274884241499536
"beta",60,200,0.148914684882986,0.163373118125211,1.96366825700735,2.17224666154915,0.0764336885140791,0.278003073035733
"beta",61,200,0.143728247963741,0.159522540190554,1.68810762251401,1.88661235164818,0.0473586291780015,0.29421193453011
"beta",62,200,0.150603506494055,0.167504479832715,1.97411136161718,2.20550060148539,-0.115158531231228,0.278008412914925
"beta",63,200,0.165705369329977,0.179998268570663,1.80863397216488,1.97839467263125,0.0592775164091999,0.305162487422898
"beta",64,200,0.132740150735302,0.148419036337128,1.93489332301058,2.17678608727446,-0.0243587631689385,0.264055721293205
"beta",65,200,0.182460842927195,0.199614367884182,1.80026465486026,1.98420856272112,0.102583574574738,0.321250328558227
"beta",66,200,0.186943184845181,0.205642445727204,1.67792498024899,1.84811443808996,-0.123727927055674,0.33589863012418
"beta",67,200,0.196471119516013,0.211064535317955,2.46868712099265,2.67674292399345,0.136809219186825,0.284923544060238
"beta",68,200,0.200970764969663,0.215488043307272,1.88800916174827,2.04308410997759,0.17866583103017,0.329147652604181
"beta",69,200,0.145447757517862,0.160597826310402,1.46204152354488,1.62531524221175,0.129484877543842,0.317961713087463
"beta",70,200,0.152631153168354,0.166931142627776,1.49315552607767,1.64489592902618,0.0927989967605867,0.322259048340179
"beta",71,200,0.145077186197823,0.161692900165885,1.56785267893865,1.75580657985915,-0.0380785855867749,0.30632967032984
"beta",72,200,0.147460458289588,0.163814360186279,1.76856229535436,1.97795979485234,0.0981383462676115,0.291354943232276
"beta",73,200,0.20206053751952,0.218484456594258,1.98925746185507,2.1645550262785,0.0691557432866507,0.321391986381626
"beta",74,200,0.240978997833899,0.258312088569007,2.07210309045333,2.23379959667832,0.174200867582004,0.343567983630134
"beta",75,200,0.256221673847868,0.272728463004736,2.49788281773043,2.67896803691728,0.245815280430443,0.322848458871365
"beta",76,200,0.142832190313989,0.157407003931281,1.66837278868085,1.85742045792218,0.135542969096202,0.295820805000349
"beta",77,200,0.138763257768488,0.154172843803835,1.89927307026144,2.13173636007044,0.039049061711995,0.273479605062072
"beta",78,200,0.135930626571004,0.149960998363273,1.31711121820675,1.46066363195089,0.015220355195422,0.323601326072962
"beta",79,200,0.159490434267325,0.174642182893739,1.73141777343199,1.90993357302159,0.14163753285731,0.306261384553716
"beta",80,200,0.186245678720397,0.201831847396257,2.80824981183108,3.06877061168694,0.164908961074902,0.259976311035352
"beta",81,200,0.12675425790081,0.142865009422751,1.18784775452152,1.3485673627711,0.0221700653580577,0.329647996315405
"beta",82,200,0.163783414217324,0.178060464477659,1.99306058068046,2.17948643425191,0.0885288586334071,0.288754759093679
"beta",83,200,0.138834045964872,0.153816459356309,1.80997995223574,2.02209994083007,0.0916983202623427,0.279751081799224
"beta",84,200,0.155871757608959,0.170525280007649,1.64602717369997,1.81568951977332,0.110214730601214,0.31058389326909
"beta",85,200,0.173417109070742,0.188680362841355,1.57635195011411,1.72265141565071,0.0649429985448201,0.333956358841204
"beta",86,200,0.191088277731395,0.208132067038441,2.03671633930863,2.23433213122977,0.141012090446727,0.308967932621741
"beta",87,200,0.129354057492404,0.144599651528653,1.34433818774428,1.50908903586989,0.0159046989938158,0.312262083479837
"beta",88,200,0.155857020499765,0.171544305613237,1.63652415852724,1.81367800140152,0.0704892220669959,0.311158538167333
"beta",89,200,0.180161782717654,0.195511505715477,2.17464042521013,2.38030854020325,0.113313158741572,0.290705114096235
"beta",90,200,0.204386449762034,0.219512436810054,1.68683315814435,1.82513797460512,0.168581987210733,0.351043663170314
"beta",91,200,0.120847458876227,0.136722581541588,1.40578278079512,1.60066994572699,0.027618440358353,0.29549795345246
"beta",92,200,0.218970537573071,0.234125193756084,2.43551087548408,2.62080837311552,0.184495948723039,0.302162570296372
"beta",93,200,0.138501823097925,0.156026381554586,1.39436389736921,1.5770970306707,-0.0585895012061152,0.317124655598778
"beta",94,200,0.21259845448208,0.228790377363213,2.23603042553676,2.42134450734822,0.116809996552787,0.310793993916485
"beta",95,200,0.169304949706349,0.184712825332007,2.03961486951757,2.23809533349781,0.154982632835745,0.290281199738282
"beta",96,200,0.182636839464928,0.199299547893704,2.48129075182167,2.72364990339609,0.0421528304914851,0.273567139011772
"beta",97,200,0.239811247605007,0.256329505555981,2.3728538138328,2.55654725117311,0.211701909690902,0.320463250299566
"beta",98,200,0.200004698243155,0.215998287685721,2.00206484297226,2.17929704197265,0.182098591796402,0.318635177868959
"beta",99,200,0.179436734500796,0.194100380654645,2.25666831839301,2.45800742144142,-0.00345381520085992,0.284377666389078
"beta",100,200,0.196920858779664,0.213988577968727,2.71109021646071,2.95910858506748,-0.00256163368011857,0.2713950394022
"arctangent",1,200,1644.53831525431,1644.55316680252,23076.5982474882,23316.7815978646,-0.0569997976301023,0.269700261534694
"arctangent",2,200,1728.12019793921,1728.13776789296,19659.4389991495,19868.4974175918,0.0882869982292196,0.299641646959465
"arctangent",3,200,1608.09669971746,1608.11297887259,19325.8194213551,19533.6870326405,0.109879485977795,0.291579428040043
"arctangent",4,200,1505.80937508287,1505.8247255299,18764.0576423902,19015.9573078796,-0.0023582592323518,0.287012018023909
"arctangent",5,200,2050.14213247316,2050.15801537895,20275.3127074887,20510.2183532743,0.203153772204474,0.321713218727872
"arctangent",6,200,1883.51685955584,1883.53265265305,28011.1241845558,28389.4540296779,0.105881769274585,0.262744927111609
"arctangent",7,200,1523.06236849646,1523.07883714364,16923.940610322,17146.5803953134,-0.00572104318217795,0.303926668521125
"arctangent",8,200,2639.29367701992,2639.30761390805,28507.0360033154,28842.4232087206,0.106369723600901,0.307722457032896
"arctangent",9,200,1870.99857761065,1871.01376203545,24002.4650310108,24280.6353443634,0.195739240469364,0.282392677927515
"arctangent",10,200,1805.39107967098,1805.40635373377,23391.6414643175,23728.1492290035,0.114348149166623,0.281661133124736
"arctangent",11,200,1461.58293017572,1461.59724211353,13940.9986489751,14082.415137608,0.15269698190292,0.327063350762182
"arctangent",12,200,2041.26820737735,2041.28384532506,21594.4086244122,21789.7565289927,0.147160078820304,0.31020598238197
"arctangent",13,200,1711.42226279202,1711.4369071877,17713.4852375099,17907.6524403633,0.0327812682034105,0.314184625034846
"arctangent",14,200,1704.55599073021,1704.57114249862,14208.5690356763,14368.2737933103,0.143269558372824,0.350140841887802
"arctangent",15,200,2743.40603422678,2743.42305901011,43334.1491718027,43873.2900033677,-0.01817441879036,0.254763068896517
"arctangent",16,200,1948.97065827955,1948.98611943566,22505.8639236634,22772.9795952087,0.012694066295673,0.297737698201278
"arctangent",17,200,1904.26724109141,1904.28420835726,19113.8276753948,19302.0037933331,0.136804432922286,0.318716644076967
"arctangent",18,200,2708.3386773641,2708.3561336516,26981.7471109166,27353.3686830734,-0.015326742745512,0.321037943083565
"arctangent",19,200,1279.36759886395,1279.38389979546,12103.4716563801,12234.0061622035,0.0607018974935538,0.328594299342552
"arctangent",20,200,2257.05005489563,2257.0665261475,26413.4009065709,26757.1580003002,0.0378751666393653,0.296109396426379
"arctangent",21,200,1516.43175838425,1516.44776265405,15202.5798243183,15405.8684794508,0.0113004607161946,0.319958732179946
"arctangent",22,200,2119.93804269018,2119.95367596146,21273.5390027618,21509.8024933681,0.120120605306037,0.319235968153495
